City,State,Song,lat,long
Boston,Massachusetts,528,42.3602534,-71.0582912
Boston,Massachusetts,All Kindsa Girls,42.3602534,-71.0582912
Boston,Massachusetts,"Allston, Mass",42.3602534,-71.0582912
Boston,Massachusetts,The Allston Beat,42.3602534,-71.0582912
Boston,Massachusetts,An Open Letter to Boston,42.3602534,-71.0582912
Boston,Massachusetts,As We Walk to Fenway Park in Boston Town,42.3602534,-71.0582912
Boston,Massachusetts,Back Bay Shuffle,42.3602534,-71.0582912
Boston,Massachusetts,Back to Boston,42.3602534,-71.0582912
Boston,Massachusetts,Bank of Boston Beauty Queen,42.3602534,-71.0582912
Boston,Massachusetts,Beantown,42.3602534,-71.0582912
Boston,Massachusetts,Bigger Things in Mind,42.3602534,-71.0582912
Boston,Massachusetts,Bill Lee,42.3602534,-71.0582912
Boston,Massachusetts,Blue Thunder,42.3602534,-71.0582912
Boston,Massachusetts,Billy Ruane,42.3602534,-71.0582912
Boston,Massachusetts,Boston,42.3602534,-71.0582912
Boston,Massachusetts,Boston,42.3602534,-71.0582912
Boston,Massachusetts,Boston,42.3602534,-71.0582912
Boston,Massachusetts,Boston,42.3602534,-71.0582912
Boston,Massachusetts,Boston,42.3602534,-71.0582912
Boston,Massachusetts,Boston,42.3602534,-71.0582912
Boston,Massachusetts,Boston,42.3602534,-71.0582912
Boston,Massachusetts,Boston,42.3602534,-71.0582912
Boston,Massachusetts,Boston,42.3602534,-71.0582912
Boston,Massachusetts,Boston,42.3602534,-71.0582912
Boston,Massachusetts,Boston (Ladies of Cambridge),42.3602534,-71.0582912
Boston,Massachusetts,Boston (My Hometown),42.3602534,-71.0582912
Boston,Massachusetts,Boston and St. John's,42.3602534,-71.0582912
Boston,Massachusetts,Boston Asphalt,42.3602534,-71.0582912
Boston,Massachusetts,Boston Babies,42.3602534,-71.0582912
Boston,Massachusetts,Boston Babies,42.3602534,-71.0582912
Boston,Massachusetts,Boston Band,42.3602534,-71.0582912
Boston,Massachusetts,Boston Belongs To Me,42.3602534,-71.0582912
Boston,Massachusetts,The Boston Beguine,42.3602534,-71.0582912
Boston,Massachusetts,Boston Bound,42.3602534,-71.0582912
Boston,Massachusetts,Boston Girl,42.3602534,-71.0582912
Boston,Massachusetts,Boston Jail,42.3602534,-71.0582912
Boston,Massachusetts,A Boston Peace,42.3602534,-71.0582912
Boston,Massachusetts,Boston Rag,42.3602534,-71.0582912
Boston,Massachusetts,Boston Rose,42.3602534,-71.0582912
Boston,Massachusetts,Boston Strong,42.3602534,-71.0582912
Boston,Massachusetts,Boston Subway,42.3602534,-71.0582912
Boston,Massachusetts,Boston Tea Party,42.3602534,-71.0582912
Boston,Massachusetts,The Boston Tea Party,42.3602534,-71.0582912
Boston,Massachusetts,Boston United,42.3602534,-71.0582912
Boston,Massachusetts,"Boston, USA",42.3602534,-71.0582912
Boston,Massachusetts,Bostons,42.3602534,-71.0582912
Boston,Massachusetts,"Bridges, Squares",42.3602534,-71.0582912
Boston,Massachusetts,Brighton Memories,42.3602534,-71.0582912
Boston,Massachusetts,Bunker Hill,42.3602534,-71.0582912
Boston,Massachusetts,Carl Yastrzemski,42.3602534,-71.0582912
Boston,Massachusetts,The Chosen Few,42.3602534,-71.0582912
Boston,Massachusetts,Christmas Time,42.3602534,-71.0582912
Boston,Massachusetts,Crutch,42.3602534,-71.0582912
Boston,Massachusetts,The Devil Came Up To Boston,42.3602534,-71.0582912
Boston,Massachusetts,Devils in Boston,42.3602534,-71.0582912
Boston,Massachusetts,Dirty Water,42.3602534,-71.0582912
Boston,Massachusetts,Down Around Here,42.3602534,-71.0582912
Boston,Massachusetts,Drivin' in Boston is Drivin' Me to Drink,42.3602534,-71.0582912
Boston,Massachusetts,The End of Radio,42.3602534,-71.0582912
Boston,Massachusetts,Etoh,42.3602534,-71.0582912
Boston,Massachusetts,Fairmount Hill,42.3602534,-71.0582912
Boston,Massachusetts,Feelin' Massachusetts,42.3602534,-71.0582912
Boston,Massachusetts,The Fenway,42.3602534,-71.0582912
Boston,Massachusetts,Fly Into the Mystery,42.3602534,-71.0582912
Boston,Massachusetts,For Boston,42.3602534,-71.0582912
Boston,Massachusetts,For Boston,42.3602534,-71.0582912
Boston,Massachusetts,Girlfriend,42.3602534,-71.0582912
Boston,Massachusetts,Going Out in Style,42.3602534,-71.0582912
Boston,Massachusetts,Government Center,42.3602534,-71.0582912
Boston,Massachusetts,Homecoming King,42.3602534,-71.0582912
Boston,Massachusetts,I Feel At Home (Back In Boston),42.3602534,-71.0582912
Boston,Massachusetts,I Want My City Back,42.3602534,-71.0582912
Boston,Massachusetts,The Ice of Boston,42.3602534,-71.0582912
Boston,Massachusetts,I'm Shipping up to Boston,42.3602534,-71.0582912
Boston,Massachusetts,I'm Yours Boston,42.3602534,-71.0582912
Boston,Massachusetts,In Defense of Dorchester,42.3602534,-71.0582912
Boston,Massachusetts,Jackson Mann,42.3602534,-71.0582912
Boston,Massachusetts,Just Like Larry,42.3602534,-71.0582912
Boston,Massachusetts,Knights of Bostonia,42.3602534,-71.0582912
Boston,Massachusetts,Land of the Glass Pinecones,42.3602534,-71.0582912
Boston,Massachusetts,Logan to Government Center,42.3602534,-71.0582912
Boston,Massachusetts,Lost in Boston,42.3602534,-71.0582912
Boston,Massachusetts,M.T.A.,42.3602534,-71.0582912
Boston,Massachusetts,Mass Ave,42.3602534,-71.0582912
Boston,Massachusetts,Mass Ave,42.3602534,-71.0582912
Boston,Massachusetts,Mass Pike,42.3602534,-71.0582912
Boston,Massachusetts,Massachusetts Avenue,42.3602534,-71.0582912
Boston,Massachusetts,Mess,42.3602534,-71.0582912
Boston,Massachusetts,Midnight Rambler,42.3602534,-71.0582912
Boston,Massachusetts,Modern World,42.3602534,-71.0582912
Boston,Massachusetts,A More Perfect Union,42.3602534,-71.0582912
Boston,Massachusetts,My Boston,42.3602534,-71.0582912
Boston,Massachusetts,My Sister,42.3602534,-71.0582912
Boston,Massachusetts,Never Alone,42.3602534,-71.0582912
Boston,Massachusetts,No Future (Death or Jail),42.3602534,-71.0582912
Boston,Massachusetts,Normal Town,42.3602534,-71.0582912
Boston,Massachusetts,Pipe Bomb on Lansdowne Street,42.3602534,-71.0582912
Boston,Massachusetts,Please Come to Boston,42.3602534,-71.0582912
Boston,Massachusetts,The Rascal King,42.3602534,-71.0582912
Boston,Massachusetts,Ride on Down the Highway,42.3602534,-71.0582912
Boston,Massachusetts,Riot on Broad Street,42.3602534,-71.0582912
Boston,Massachusetts,Riverside,42.3602534,-71.0582912
Boston,Massachusetts,Roadrunner,42.3602534,-71.0582912
Boston,Massachusetts,Rock and Roll Band,42.3602534,-71.0582912
Boston,Massachusetts,Roslindale,42.3602534,-71.0582912
Boston,Massachusetts,Savin Hill,42.3602534,-71.0582912
Boston,Massachusetts,She's From Boston,42.3602534,-71.0582912
Boston,Massachusetts,She's Got a Boyfriend Now,42.3602534,-71.0582912
Boston,Massachusetts,Shining On,42.3602534,-71.0582912
Boston,Massachusetts,Shot Heard 'Round the World,42.3602534,-71.0582912
Boston,Massachusetts,Skinhead on the MBTA,42.3602534,-71.0582912
Boston,Massachusetts,Still In Massachusetts,42.3602534,-71.0582912
Boston,Massachusetts,Southeast of Boston,42.3602534,-71.0582912
Boston,Massachusetts,South End Incident,42.3602534,-71.0582912
Boston,Massachusetts,Southie Is My Hometown,42.3602534,-71.0582912
Boston,Massachusetts,The State of Massachusetts,42.3602534,-71.0582912
