City,State,Song,lat,long
Chicago,Illinois,1215 W. Belmont,41.8755616,-87.6244212
Chicago,Illinois,19th Street Blues,41.8755616,-87.6244212
Chicago,Illinois,2120 South Michigan Avenue,41.8755616,-87.6244212
Chicago,Illinois,29th and Dearborn,41.8755616,-87.6244212
Chicago,Illinois,31st And State,41.8755616,-87.6244212
Chicago,Illinois,39th And Indiana,41.8755616,-87.6244212
Chicago,Illinois,42 in Chicago,41.8755616,-87.6244212
Chicago,Illinois,43rd Street Jump,41.8755616,-87.6244212
Chicago,Illinois,47th Street Stomp,41.8755616,-87.6244212
Chicago,Illinois,5-3-10-4,41.8755616,-87.6244212
Chicago,Illinois,55th Street,41.8755616,-87.6244212
Chicago,Illinois,65th and Ingleside,41.8755616,-87.6244212
Chicago,Illinois,70th & King Drive,41.8755616,-87.6244212
Chicago,Illinois,A Cicada Of Chicago,41.8755616,-87.6244212
Chicago,Illinois,An Afternoon in Midway Plaisance. Fantasie for Piano.,41.8755616,-87.6244212
Chicago,Illinois,Angels,41.8755616,-87.6244212
Chicago,Illinois,Apex Blues,41.8755616,-87.6244212
Chicago,Illinois,Apostrophe to Chicago,41.8755616,-87.6244212
Chicago,Illinois,Area 312,41.8755616,-87.6244212
Chicago,Illinois,At McKie's,41.8755616,-87.6244212
Chicago,Illinois,Ation,41.8755616,-87.6244212
Chicago,Illinois,Auch Chikago War Einmal Jung,41.8755616,-87.6244212
Chicago,Illinois,Awake! Awake!,41.8755616,-87.6244212
Chicago,Illinois,Back Down On State Street,41.8755616,-87.6244212
Chicago,Illinois,Back Streets of Lombard,41.8755616,-87.6244212
Chicago,Illinois,Back to Chicago,41.8755616,-87.6244212
Chicago,Illinois,"Bad, Bad Leroy Brown",41.8755616,-87.6244212
Chicago,Illinois,The Ballad Of Jesse James,41.8755616,-87.6244212
Chicago,Illinois,Bamako Chicago Express,41.8755616,-87.6244212
Chicago,Illinois,Baseball Dreams,41.8755616,-87.6244212
Chicago,Illinois,Battle of Chicago,41.8755616,-87.6244212
Chicago,Illinois,Bear Down Chicago Bears,41.8755616,-87.6244212
Chicago,Illinois,The Belle of Chicago,41.8755616,-87.6244212
Chicago,Illinois,The Belle of Chicago Barn Dance,41.8755616,-87.6244212
Chicago,Illinois,The Belle of Lincoln Park,41.8755616,-87.6244212
Chicago,Illinois,Best Wishes to your Black Lung,41.8755616,-87.6244212
Chicago,Illinois,Big Bill the Builder,41.8755616,-87.6244212
Chicago,Illinois,The Big Brass Band from Brazil,41.8755616,-87.6244212
Chicago,Illinois,The Big Unit,41.8755616,-87.6244212
Chicago,Illinois,Big Windy City,41.8755616,-87.6244212
Chicago,Illinois,The Billiken Man,41.8755616,-87.6244212
Chicago,Illinois,Black Sox Two Step (Noir Chaussette's Two Step),41.8755616,-87.6244212
Chicago,Illinois,Bloody Canvas,41.8755616,-87.6244212
Chicago,Illinois,Blowin' in from Chicago,41.8755616,-87.6244212
Chicago,Illinois,Blue Line,41.8755616,-87.6244212
Chicago,Illinois,Blues for the South Side,41.8755616,-87.6244212
Chicago,Illinois,Blues for the West Side,41.8755616,-87.6244212
Chicago,Illinois,Boogie Woogie Bugle Boy,41.8755616,-87.6244212
Chicago,Illinois,Boost Chicago,41.8755616,-87.6244212
Chicago,Illinois,Born in Chicago,41.8755616,-87.6244212
Chicago,Illinois,Born in Illinois (in a place they call Chicago),41.8755616,-87.6244212
Chicago,Illinois,Bow to the Masta,41.8755616,-87.6244212
Chicago,Illinois,"Boy Reporter Blues, Dedicated to Horace Wade – Boy Reporter of the Chicago Evening American",41.8755616,-87.6244212
Chicago,Illinois,Break Down on Lake Shore Drive,41.8755616,-87.6244212
Chicago,Illinois,Bryn Mawr Stomp,41.8755616,-87.6244212
Chicago,Illinois,Bucktown Stomp,41.8755616,-87.6244212
Chicago,Illinois,The Burning Iroquois,41.8755616,-87.6244212
Chicago,Illinois,The Burning of the Iroquois,41.8755616,-87.6244212
Chicago,Illinois,"Calling Me Home, Chicago",41.8755616,-87.6244212
Chicago,Illinois,Casimir Pulaski Day,41.8755616,-87.6244212
Chicago,Illinois,Cha Cha Chicago,41.8755616,-87.6244212
Chicago,Illinois,Chi-Chi-Chi-Chicago,41.8755616,-87.6244212
Chicago,Illinois,Chi'-Ca'-Go',41.8755616,-87.6244212
Chicago,Illinois,Chi-City,41.8755616,-87.6244212
Chicago,Illinois,Chi-City Boogie,41.8755616,-87.6244212
