City,State,Song,lat,long
Los Angeles,California,10th & Crenshaw,34.0536909,-118.242766
Los Angeles,California,100 Miles and Runnin',34.0536909,-118.242766
Los Angeles,California,101 Eastbound,34.0536909,-118.242766
Los Angeles,California,The 103rd St. Theme,34.0536909,-118.242766
Los Angeles,California,1977 Sunset Strip,34.0536909,-118.242766
Los Angeles,California,2 A.M. on Mulholland Drive,34.0536909,-118.242766
Los Angeles,California,2 Fingers,34.0536909,-118.242766
Los Angeles,California,21 Jumpstreet,34.0536909,-118.242766
Los Angeles,California,26 Miles (Santa Catalina),34.0536909,-118.242766
Los Angeles,California,2 Nigs United 4 West Compton,34.0536909,-118.242766
Los Angeles,California,29th Street,34.0536909,-118.242766
Los Angeles,California,213 to 619 Adjacent,34.0536909,-118.242766
Los Angeles,California,3 A.M. in L.A.,34.0536909,-118.242766
Los Angeles,California,30 Pier Avenue,34.0536909,-118.242766
Los Angeles,California,319 La Cienega,34.0536909,-118.242766
Los Angeles,California,34th Street to L.A.,34.0536909,-118.242766
Los Angeles,California,"3rd Base, Dodger Stadium",34.0536909,-118.242766
Los Angeles,California,,34.0536909,-118.242766
Los Angeles,California,4PM in Calabasas,34.0536909,-118.242766
Los Angeles,California,5 O'Clock In L.A.,34.0536909,-118.242766
Los Angeles,California,6 'n the Mornin',34.0536909,-118.242766
Los Angeles,California,64 Bars on Wilshire,34.0536909,-118.242766
Los Angeles,California,77 Sunset Strip,34.0536909,-118.242766
Los Angeles,California,77 Sunset Strip,34.0536909,-118.242766
Los Angeles,California,79th and Sunset,34.0536909,-118.242766
Los Angeles,California,80 Blocks from Silverlake,34.0536909,-118.242766
Los Angeles,California,808 Beats,34.0536909,-118.242766
Los Angeles,California,8069 Vineland,34.0536909,-118.242766
Los Angeles,California,90210,34.0536909,-118.242766
Los Angeles,California,90210,34.0536909,-118.242766
Los Angeles,California,99 Miles from L.A.,34.0536909,-118.242766
Los Angeles,California,A Malibu,34.0536909,-118.242766
Los Angeles,California,...Aber Der Traum War Sehr Schön,34.0536909,-118.242766
Los Angeles,California,Ænema,34.0536909,-118.242766
Los Angeles,California,Africa Unite,34.0536909,-118.242766
Los Angeles,California,After Hollywood,34.0536909,-118.242766
Los Angeles,California,Afton Place,34.0536909,-118.242766
