City,State,Song,lat,long
Aberdeen,Maryland,I-95,39.5095556,-76.1641197
Abilene,Kansas,Abilene,38.917252,-97.21377
Abilene,Kansas,Loser,38.917252,-97.21377
Akron,Ohio,Downtown (Akron),41.083064,-81.518485
Akron,Ohio,My City Was Gone,41.083064,-81.518485
Albuquerque,New Mexico,Albuquerque,35.0841034,-106.650985
Albuquerque,New Mexico,Albuquerque,35.0841034,-106.650985
Albuquerque,New Mexico,Albuquerque,35.0841034,-106.650985
Albuquerque,New Mexico,Alburquerque (Wild Scenes),35.0841034,-106.650985
Albuquerque,New Mexico,Blue Bedroom,35.0841034,-106.650985
Albuquerque,New Mexico,Bring Em Out,35.0841034,-106.650985
Albuquerque,New Mexico,By the Time I Get to Phoenix,35.0841034,-106.650985
Albuquerque,New Mexico,Cowboy Movie,35.0841034,-106.650985
Albuquerque,New Mexico,(Get Your Kicks on) Route 66,35.0841034,-106.650985
Albuquerque,New Mexico,I Hope Your Whole Life Sux,35.0841034,-106.650985
Albuquerque,New Mexico,Make it Clap,35.0841034,-106.650985
Albuquerque,New Mexico,Space Between Us,35.0841034,-106.650985
Albuquerque,New Mexico,The King of Rock 'n' Roll,35.0841034,-106.650985
Albuquerque,New Mexico,Point Me in the Direction of Albuquerque,35.0841034,-106.650985
Albuquerque,New Mexico,The Promised Land,35.0841034,-106.650985
Albuquerque,New Mexico,Train Kept A Rollin',35.0841034,-106.650985
Albuquerque,New Mexico,Wanted Man,35.0841034,-106.650985
Allentown,Pennsylvania,Allentown,40.6022059,-75.4712794
Allentown,Pennsylvania,Allentown Jail,40.6022059,-75.4712794
Amarillo,Texas,Amarillo,35.2072185,-101.8338246
Amarillo,Texas,Amarillo,35.2072185,-101.8338246
Amarillo,Texas,Amarillo by Morning,35.2072185,-101.8338246
Amarillo,Texas,Amarillo Sky,35.2072185,-101.8338246
Amarillo,Texas,If Hollywood Don't Need You (Honey I Still Do),35.2072185,-101.8338246
Amarillo,Texas,Is This the Way to Amarillo,35.2072185,-101.8338246
Amarillo,Texas,(Get Your Kicks on)Route 66[46],35.2072185,-101.8338246
Ann Arbor,Michigan,I Want to Go Back to Michigan,42.2681569,-83.7312291
Ann Arbor,Michigan,Last Parade on Ann Street,42.2681569,-83.7312291
Anchorage,Alaska,Anchorage,61.2163129,-149.894852
Arlington,Virginia,Arlandria,38.8903961,-77.0841585
Arlington,Virginia,Arlington,38.8903961,-77.0841585
Asbury Park,New Jersey,"Fourth of July, Asbury Park (Sandy)",40.2203907,-74.0120817
Asbury Park,New Jersey,My City of Ruins,40.2203907,-74.0120817
Atlantic City,New Jersey,Atlantic City,39.3642852,-74.4229351
Austin,Texas,Amy's Back In Austin,30.2711286,-97.7436995
Austin,Texas,Austin,30.2711286,-97.7436995
Austin,Texas,Austin in My Sights,30.2711286,-97.7436995
Austin,Texas,Austin to Ashes,30.2711286,-97.7436995
Avalon (Catalina Isl.),California,Avalon,,
Bad Axe,Michigan,"Bad Axe, Michigan",43.801959,-83.000777
Bakersfield,California,Bakersfield,35.3738712,-119.0194639
Bakersfield,California,Mexicali Blues,35.3738712,-119.0194639
Bakersfield,California,Streets of Bakersfield,35.3738712,-119.0194639
Baltimore,Maryland,Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Baltimore's Fireflies,39.2908816,-76.610759
Baltimore,Maryland,Barefoot in Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Blue Skies Over Dundalk,39.2908816,-76.610759
Baltimore,Maryland,Engine Engine Number 9,39.2908816,-76.610759
Baltimore,Maryland,For Baltimore,39.2908816,-76.610759
Baltimore,Maryland,The Girl From Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Good Morning Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Heaven in Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Hungry Heart,39.2908816,-76.610759
Baltimore,Maryland,Moonlight Feels Right,39.2908816,-76.610759
Baltimore,Maryland,Raining in Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Streets of Baltimore,39.2908816,-76.610759
Baltimore,Maryland,Willie Jones,39.2908816,-76.610759
Baltimore,Maryland,Baltimore To Washington,39.2908816,-76.610759
Baltimore,Maryland,The Lady Came from Baltimore,39.2908816,-76.610759
Baltimore,Maryland,The Star-Spangled Banner,39.2908816,-76.610759
Bangor,Maine,King Of The Road,44.8011821,-68.7778138
Baton Rouge,Louisiana,Calling Baton Rouge,30.4459596,-91.18738
Baton Rouge,Louisiana,Me and Bobby McGee,30.4459596,-91.18738
Baton Rouge,Louisiana,Greenville to Baton Rouge,30.4459596,-91.18738
Baton Rouge,Louisiana,Baton Rouge,30.4459596,-91.18738
Baxter Springs,Kansas,Choctaw Bingo,37.0236759,-94.7355042
Beaumont,Texas,Beaumont,30.0860459,-94.1018461
Beaumont,Texas,"Pretty Little Lady From Beaumont, Texas",30.0860459,-94.1018461
Beaumont,Texas,The Night's Too Long,30.0860459,-94.1018461
Bossier City,Louisiana,Bossier City,32.5369356,-93.6952689
Boulder,Colorado,Boulder to Birmingham,40.0149856,-105.270545
Brownsville,Texas,It's All Here in Brownsville,25.9140256,-97.4890856
Buffalo,New York,Broadway,42.8867166,-78.8783922
Buffalo,New York,Shuffle Off to Buffalo,42.8867166,-78.8783922
Buffalo,New York,Truckin,42.8867166,-78.8783922
Buffalo,New York,Ladies Night in Buffalo,42.8867166,-78.8783922
Buffalo,New York,Rock and Roll Girls,42.8867166,-78.8783922
Buffalo,New York,Buffalo,42.8867166,-78.8783922
Charleston,South Carolina,Carolina,32.7876012,-79.9402728
Charleston,South Carolina,Holy City,32.7876012,-79.9402728
Charleston,South Carolina,The Charleston (dance) and song,32.7876012,-79.9402728
Charleston,South Carolina,You Can Have Charleston,32.7876012,-79.9402728
Charleston,West Virginia,Charleston Girl,38.3505995,-81.6332812
Charlotte,North Carolina,Gridiron Fight,35.2272086,-80.8430827
Charlotte,North Carolina,In Charlotte,35.2272086,-80.8430827
Charlotte,North Carolina,Brick,35.2272086,-80.8430827
Charlotte,North Carolina,Charlotte's in North Carolina,35.2272086,-80.8430827
Chattanooga,Tennessee,The Chattanooga Shoot Shoot,35.0457219,-85.3094883
Chattanooga,Tennessee,Chattanooga Sugar Babe,35.0457219,-85.3094883
Chattanooga,Tennessee,Chattanooga Choo Choo,35.0457219,-85.3094883
Chattanooga,Tennessee,Chattanooga Lucy,35.0457219,-85.3094883
Cheyenne,Wyoming,I Can Still Make Cheyenne,41.139981,-104.820246
Cheyenne,Wyoming,Jack Straw,41.139981,-104.820246
Cheyenne,Wyoming,The Beaches of Cheyenne,41.139981,-104.820246
Cheyenne,Wyoming,July in Cheyenne,41.139981,-104.820246
Cincinnati,Ohio,Comin' to Your City,39.1014537,-84.5124602
Cincinnati,Ohio,Fins,39.1014537,-84.5124602
Cincinnati,Ohio,"Jesus, Take the Wheel",39.1014537,-84.5124602
Cincinnati,Ohio,Lights of Cincinnati,39.1014537,-84.5124602
Cleveland,Ohio,Anything But Mine,41.5051613,-81.6934446
Cleveland,Ohio,Burn On,41.5051613,-81.6934446
Cleveland,Ohio,Christmas in Cleveland,41.5051613,-81.6934446
Cleveland,Ohio,Cleveland,41.5051613,-81.6934446
Cleveland,Ohio,Cleveland is the City,41.5051613,-81.6934446
Cleveland,Ohio,Cleveland,41.5051613,-81.6934446
Cleveland,Ohio,Cleveland,41.5051613,-81.6934446
Cleveland,Ohio,Cleveland is the Reason,41.5051613,-81.6934446
Cleveland,Ohio,Cleveland Ohio Blues,41.5051613,-81.6934446
Cleveland,Ohio,Cleveland Rocks,41.5051613,-81.6934446
Cleveland,Ohio,Cuyahoga,41.5051613,-81.6934446
Cleveland,Ohio,The Heart of Rock & Roll,41.5051613,-81.6934446
Cleveland,Ohio,East 1999,41.5051613,-81.6934446
Cleveland,Ohio,In the Heartland,41.5051613,-81.6934446
Cleveland,Ohio,Let's Get Wrecked,41.5051613,-81.6934446
Cleveland,Ohio,Let's Move to Cleveland,41.5051613,-81.6934446
Cleveland,Ohio,"Look Out, Cleveland",41.5051613,-81.6934446
Cleveland,Ohio,Mean Night in Cleveland,41.5051613,-81.6934446
Cleveland,Ohio,Missing Cleveland,41.5051613,-81.6934446
Cleveland,Ohio,My Town,41.5051613,-81.6934446
Cleveland,Ohio,Ohio (Come Back to Texas),41.5051613,-81.6934446
Cleveland,Ohio,Pancho and Lefty,41.5051613,-81.6934446
Cleveland,Ohio,Precious,41.5051613,-81.6934446
Cleveland,Ohio,Skinny Little Boy from Cleveland,41.5051613,-81.6934446
Cleveland,Ohio,Stairway To Cleveland,41.5051613,-81.6934446
Cleveland,Ohio,Till I Die,41.5051613,-81.6934446
Coeur d'Alene,Idaho,All I Left Behind,47.6742994,-116.7811531
Coeur d'Alene,Idaho,Coeur d'Alene,47.6742994,-116.7811531
Coeur d'Alene,Idaho,Coeur d'Alene,47.6742994,-116.7811531
Coeur d'Alene,Idaho,Coeur d'Alene,47.6742994,-116.7811531
Columbus,Ohio,Road Outside Columbus,39.9622601,-83.0007065
Commerce City,Colorado,Commerce City Sister,39.8083196,-104.9338675
Crescent City,California,Crescent City,41.8528065,-124.14986198309553
Cripple Creek,Colorado,Up On Cripple Creek,38.7466555,-105.1783149
Danville,Virginia,The Night They Drove Old Dixie Down,36.5859718,-79.3950228
Danville,Virginia,The Wreck of the Old 97,36.5859718,-79.3950228
Dallas,Texas,Big D,32.7762719,-96.7968559
Dallas,Texas,Dallas,32.7762719,-96.7968559
Dallas,Texas,Dallas,32.7762719,-96.7968559
Dallas,Texas,Dallas,32.7762719,-96.7968559
Dallas,Texas,Dallas,32.7762719,-96.7968559
Dallas,Texas,Dallas,32.7762719,-96.7968559
Dallas,Texas,Dallas 1pm,32.7762719,-96.7968559
Dallas,Texas,Dallas After Midnight,32.7762719,-96.7968559
Dallas,Texas,Dallas Days and Fort Worth Nights,32.7762719,-96.7968559
Dallas,Texas,Goin Through The Big D,32.7762719,-96.7968559
Dallas,Texas,He's in Dallas,32.7762719,-96.7968559
Dallas,Texas,Hot Night in Dallas,32.7762719,-96.7968559
Dallas,Texas,I Drove Her To Dallas,32.7762719,-96.7968559
Dallas,Texas,People In Dallas Got Hair,32.7762719,-96.7968559
Dallas,Texas,Pecos Promenade,32.7762719,-96.7968559
Dallas,Texas,Run,32.7762719,-96.7968559
Dallas,Texas,Truckin',32.7762719,-96.7968559
Dallas,Texas,Trudy,32.7762719,-96.7968559
Dallas,Texas,Willin',32.7762719,-96.7968559
Decatur,Illinois,"Decatur, or, Round of Applause for Your Stepmother!",39.8454163,-88.9524151
Denver,Colorado,40 Miles from Denver,39.7392364,-104.9848623
Denver,Colorado,Denver,39.7392364,-104.9848623
Denver,Colorado,Denver,39.7392364,-104.9848623
Denver,Colorado,From Denver to L.A.,39.7392364,-104.9848623
Denver,Colorado,Get Out of Denver,39.7392364,-104.9848623
Denver,Colorado,O.D.'d in Denver,39.7392364,-104.9848623
Denver,Colorado,Things to Do in Denver When You're Dead,39.7392364,-104.9848623
Des Moines,Iowa,"Des Moines, Iowa",41.5910323,-93.6046655
Doraville,Georgia,Doraville,33.8981579,-84.2832564
El Paso,Texas,All The Way Down To El Paso,31.7754152,-106.464634
El Paso,Texas,El Paso,31.7754152,-106.464634
El Paso,Texas,El Paso,31.7754152,-106.464634
El Paso,Texas,El Paso,31.7754152,-106.464634
El Paso,Texas,El Paso,31.7754152,-106.464634
El Paso,Texas,El Paso City,31.7754152,-106.464634
El Paso,Texas,Feleena (From El Paso),31.7754152,-106.464634
El Paso,Texas,Texas Women,31.7754152,-106.464634
Eugene,Oregon,Eugene,44.0505054,-123.0950506
