City,State,Song,lat,long
New York City,New York,11:11,40.7127281,-74.0060152
New York City,New York,11:35,40.7127281,-74.0060152
New York City,New York,11th Street,40.7127281,-74.0060152
New York City,New York,11th Street Kids,40.7127281,-74.0060152
New York City,New York,100 South of Broadway,40.7127281,-74.0060152
New York City,New York,105th & Park,40.7127281,-74.0060152
New York City,New York,110th Street and Fifth Avenue,40.7127281,-74.0060152
New York City,New York,110th Street Rhumba,40.7127281,-74.0060152
New York City,New York,116th and Lenox,40.7127281,-74.0060152
New York City,New York,12th Street,40.7127281,-74.0060152
New York City,New York,121 Bank Street,40.7127281,-74.0060152
New York City,New York,124 East 107th Street,40.7127281,-74.0060152
New York City,New York,125th St. And 7th Ave.,40.7127281,-74.0060152
New York City,New York,125th Street Congress,40.7127281,-74.0060152
New York City,New York,125th Street Paradise Bowling Alley,40.7127281,-74.0060152
New York City,New York,125th Street Shuffle,40.7127281,-74.0060152
New York City,New York,1254 New York,40.7127281,-74.0060152
New York City,New York,127th Street March,40.7127281,-74.0060152
New York City,New York,13 I 73 5:35-6:14:03 PM NYC,40.7127281,-74.0060152
New York City,New York,The 135th Street Theme,40.7127281,-74.0060152
New York City,New York,1394 St. Johns Place,40.7127281,-74.0060152
New York City,New York,13000 Taxi Cabs In NYC,40.7127281,-74.0060152
New York City,New York,14th Street,40.7127281,-74.0060152
New York City,New York,14th Street Beat,40.7127281,-74.0060152
New York City,New York,14th Street Blues,40.7127281,-74.0060152
New York City,New York,14th Street Break,40.7127281,-74.0060152
New York City,New York,133rd Street Boogie,40.7127281,-74.0060152
New York City,New York,153rd Street Theme,40.7127281,-74.0060152
New York City,New York,1617 Broadway,40.7127281,-74.0060152
New York City,New York,1650 Broadway Medley,40.7127281,-74.0060152
New York City,New York,1664 Park Avenue,40.7127281,-74.0060152
New York City,New York,17th Street,40.7127281,-74.0060152
New York City,New York,1926,40.7127281,-74.0060152
New York City,New York,1train,40.7127281,-74.0060152
New York City,New York,2 Train,40.7127281,-74.0060152
New York City,New York,2 West 46th Street,40.7127281,-74.0060152
New York City,New York,20th December Madison Avenue,40.7127281,-74.0060152
New York City,New York,(212),40.7127281,-74.0060152
New York City,New York,212,40.7127281,-74.0060152
New York City,New York,23rd Street (Between Park and Madison),40.7127281,-74.0060152
New York City,New York,24 Hrs. to Live,40.7127281,-74.0060152
New York City,New York,24th Street Blues,40.7127281,-74.0060152
New York City,New York,271 Utica Dub,40.7127281,-74.0060152
New York City,New York,29 Greene Street,40.7127281,-74.0060152
New York City,New York,3 Men At Chung King,40.7127281,-74.0060152
New York City,New York,3-O-Clock,40.7127281,-74.0060152
New York City,New York,30 Rockefeller Plaza,40.7127281,-74.0060152
New York City,New York,3rd and Broadway,40.7127281,-74.0060152
New York City,New York,31st Street Blues,40.7127281,-74.0060152
New York City,New York,317 East 32nd,40.7127281,-74.0060152
New York City,New York,317 (Manhattan Blues),40.7127281,-74.0060152
New York City,New York,32nd Street,40.7127281,-74.0060152
New York City,New York,32nd Street Love,40.7127281,-74.0060152
New York City,New York,35 West 4th Street,40.7127281,-74.0060152
New York City,New York,40 Island,40.7127281,-74.0060152
New York City,New York,415 Central Park West,40.7127281,-74.0060152
New York City,New York,42nd & 6th,40.7127281,-74.0060152
New York City,New York,42nd And Broadway,40.7127281,-74.0060152
New York City,New York,42nd Street,40.7127281,-74.0060152
New York City,New York,42nd Street,40.7127281,-74.0060152
New York City,New York,42nd Street,40.7127281,-74.0060152
New York City,New York,42nd Street,40.7127281,-74.0060152
New York City,New York,42nd Street,40.7127281,-74.0060152
New York City,New York,The 42nd Street and Broadway Strut,40.7127281,-74.0060152
New York City,New York,42nd Street Dub,40.7127281,-74.0060152
New York City,New York,42nd Street Dub,40.7127281,-74.0060152
New York City,New York,42nd Street Psycho Blues,40.7127281,-74.0060152
New York City,New York,44th Street Suite,40.7127281,-74.0060152
New York City,New York,45 Minutes from Broadway,40.7127281,-74.0060152
New York City,New York,45th Street At 8th Avenue,40.7127281,-74.0060152
New York City,New York,46th West 52nd Street,40.7127281,-74.0060152
New York City,New York,47th Street Jive,40.7127281,-74.0060152
New York City,New York,48th Street Smile,40.7127281,-74.0060152
New York City,New York,54,40.7127281,-74.0060152
New York City,New York,5 Boroughs,40.7127281,-74.0060152
New York City,New York,5 On 84th Street,40.7127281,-74.0060152
New York City,New York,5th Avenue,40.7127281,-74.0060152
New York City,New York,528 E 13th St,40.7127281,-74.0060152
New York City,New York,51st Street Blues,40.7127281,-74.0060152
New York City,New York,52nd & Broadway,40.7127281,-74.0060152
New York City,New York,52nd Street,40.7127281,-74.0060152
New York City,New York,52nd Street,40.7127281,-74.0060152
New York City,New York,52nd Street,40.7127281,-74.0060152
New York City,New York,52nd Street Shadow,40.7127281,-74.0060152
New York City,New York,52nd Street Theme,40.7127281,-74.0060152
New York City,New York,53rd & 3rd,40.7127281,-74.0060152
New York City,New York,54th Street,40.7127281,-74.0060152
New York City,New York,58th Street,40.7127281,-74.0060152
New York City,New York,59 Chrystie Street,40.7127281,-74.0060152
New York City,New York,59th Street,40.7127281,-74.0060152
New York City,New York,The 59th Street Bridge Song (Feelin' Groovy),40.7127281,-74.0060152
New York City,New York,6 Hubert Street,40.7127281,-74.0060152
New York City,New York,6 'N The Mornin',40.7127281,-74.0060152
New York City,New York,6B Panorama,40.7127281,-74.0060152
New York City,New York,6th Avenue,40.7127281,-74.0060152
New York City,New York,6th Avenue Heartache,40.7127281,-74.0060152
New York City,New York,61 Highway,40.7127281,-74.0060152
New York City,New York,63 Sailors In Grand Central Station,40.7127281,-74.0060152
New York City,New York,63rd Street Theme,40.7127281,-74.0060152
New York City,New York,747 (Strangers in the Night),40.7127281,-74.0060152
New York City,New York,77 Bleeker Street,40.7127281,-74.0060152
New York City,New York,$7000 And You,40.7127281,-74.0060152
New York City,New York,7th Avenue,40.7127281,-74.0060152
New York City,New York,7th Avenue Blue,40.7127281,-74.0060152
New York City,New York,7th Avenue South,40.7127281,-74.0060152
New York City,New York,7th Avenue South,40.7127281,-74.0060152
New York City,New York,78th & 3rd,40.7127281,-74.0060152
New York City,New York,8 Million Stories,40.7127281,-74.0060152
New York City,New York,80 Blocks From Tiffany's,40.7127281,-74.0060152
New York City,New York,80 Blocks Party,40.7127281,-74.0060152
New York City,New York,81st Street,40.7127281,-74.0060152
New York City,New York,8th Avenue,40.7127281,-74.0060152
New York City,New York,8th Avenue (El Fin),40.7127281,-74.0060152
New York City,New York,8th Avenue Express,40.7127281,-74.0060152
New York City,New York,8th Avenue (In the Park),40.7127281,-74.0060152
New York City,New York,8th Avenue Shuffle,40.7127281,-74.0060152
New York City,New York,82 VII 15 C. 6:35-7:35PM + C. 6:37-6:52PM NYC,40.7127281,-74.0060152
New York City,New York,83rd & 4th,40.7127281,-74.0060152
New York City,New York,86th Street,40.7127281,-74.0060152
New York City,New York,87th Street,40.7127281,-74.0060152
New York City,New York,88 Christopher Street,40.7127281,-74.0060152
New York City,New York,808 Beats,40.7127281,-74.0060152
New York City,New York,9 A.M. (The Comfort Zone),40.7127281,-74.0060152
New York City,New York,93 Ave. B Blues,40.7127281,-74.0060152
New York City,New York,9th Ave. Limbo,40.7127281,-74.0060152
New York City,New York,95 And A Half Avenue B New York New York,40.7127281,-74.0060152
New York City,New York,97th & Columbus,40.7127281,-74.0060152
New York City,New York,97th & Columbus,40.7127281,-74.0060152
New York City,New York,9th Wonder (Blackitolism),40.7127281,-74.0060152
New York City,New York,'A' Train Lady,40.7127281,-74.0060152
New York City,New York,A-Train Rush Hour Stomp,40.7127281,-74.0060152
New York City,New York,ABCs of New York,40.7127281,-74.0060152
New York City,New York,Absolutely Avenue B,40.7127281,-74.0060152
New York City,New York,Accidentally 4th. St. (Gloria),40.7127281,-74.0060152
New York City,New York,The Acieed That Ate New York,40.7127281,-74.0060152
New York City,New York,Across 110th Street Parts 1 & 2,40.7127281,-74.0060152
New York City,New York,Across 110th Street,40.7127281,-74.0060152
New York City,New York,Adam in New York,40.7127281,-74.0060152
New York City,New York,Adams in the Apple,40.7127281,-74.0060152
New York City,New York,Add Value Add Time,40.7127281,-74.0060152
New York City,New York,A.E.I.O.U. (Sometimes Y),40.7127281,-74.0060152
New York City,New York,Affair On 8th Avenue,40.7127281,-74.0060152
New York City,New York,Africa In Harlem,40.7127281,-74.0060152
New York City,New York,Africa Unite,40.7127281,-74.0060152
New York City,New York,After JALC (Jazz At Lincoln Center),40.7127281,-74.0060152
New York City,New York,Ain't It Hell Up in Harlem,40.7127281,-74.0060152
New York City,New York,Ain't No Greens in Harlem,40.7127281,-74.0060152
New York City,New York,Ain't No Man Manhattan,40.7127281,-74.0060152
New York City,New York,Ain't You Glad (New York),40.7127281,-74.0060152
New York City,New York,Alabama Blues,40.7127281,-74.0060152
New York City,New York,Albee Square Mall,40.7127281,-74.0060152
New York City,New York,Albee Square Mall,40.7127281,-74.0060152
New York City,New York,Alexander Hamilton,40.7127281,-74.0060152
New York City,New York,Alex Chilton,40.7127281,-74.0060152
New York City,New York,Alfie From The Bronx,40.7127281,-74.0060152
New York City,New York,Alice,40.7127281,-74.0060152
New York City,New York,Alive,40.7127281,-74.0060152
New York City,New York,All Aboard for Broadway,40.7127281,-74.0060152
New York City,New York,All Aboard for Times Square,40.7127281,-74.0060152
New York City,New York,All Alone in New York City,40.7127281,-74.0060152
New York City,New York,All My Friends in New York,40.7127281,-74.0060152
New York City,New York,All Night All Right,40.7127281,-74.0060152
New York City,New York,All the Critics Love U in New York,40.7127281,-74.0060152
New York City,New York,All The Way From New York,40.7127281,-74.0060152
New York City,New York,Allied Chemical Square,40.7127281,-74.0060152
